address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
14SyAQACzHJbbcegXxFCoCgw2dS525oL8S,9.88787811,203695.2957,5/1/2020,9.88787811,197735.6133,6/5/2021,0,5959.682396
14Tqr3ANud1xwNzuU6cubrHFgtNqf7Yvb9,0.89719788,44328.61689,12/8/2021,0.89719788,44331.94672,12/18/2021,0,-3.329831164
15qV1r9WRnukwJYgMGdyEC1Mz4aqvgbsoJ,4.7263267,142663.3854,9/22/2019,4.7263267,142873.9254,11/5/2022,0,-210.5400389
168wUWig7HT7P2hHTikbcKEgSqXuZqgW1F,0.96619121,36163.88548,7/5/2021,0.96619121,36218.94168,3/8/2023,0,-55.056206
17jLZy3LQxwVxbBAoxYBTPAAEKqEoV3Px9,2.28380189,63872.88242,12/20/2020,2.28380189,63995.54614,1/23/2021,0,-122.663718
18Jw1fhGKkwTY8kE3EpqYC4Rgj9UBT1uoa,2.96826397,192364.6394,11/8/2021,2.96826397,192178.4087,11/16/2021,0,186.2306815
18iVVPShUjSvf2G1pz8GxbU2DjeTELZheJ,32.00951478,358730.6216,8/8/2020,32.00951478,358949.9195,1/12/2023,0,-219.2979029
18oGbkZXiysSRwVCVb4zMSHb2V11FtPpYi,0.00139666,75.78890381,11/26/2021,0.00139666,80.18418192,11/30/2021,0,-4.395278109
18zmnkYWtmpNpL6q8hLaxMbnvggzdCQW2M,8.93708117,489022.525,11/22/2021,8.93708117,489448.9721,12/8/2021,0,-426.4471072
1AdQ4FQ7AdK3xyEAjfPNKwm3ZFwimFWUHW,0.43268,11045.337,12/19/2020,0.43268,11045.39881,1/1/2021,0,-0.061813652
1ArDPAzdFmxNrFg5rhbMuKGZowiv85kzLJ,1.61760757,91269.62646,11/24/2021,1.61760757,91269.62646,12/2/2021,0,0
1B2GbofYB6Y3D39f4Ag6aDCWJUcxgyRuwC,12.4145891,300699.0661,6/1/2020,12.4145891,301951.612,4/16/2022,0,-1252.54592
1BYQGNhy1EyMDrd5mzDDBchq99m31TCdme,1.93757601,118554.0289,10/26/2021,1.93757601,118568.4828,10/31/2021,0,-14.45383549
1CpS9NB1cLsakbbxxge4FWSSi44jaDMR3T,2.47977945,142779.8159,11/16/2021,2.47977945,143150.1381,11/30/2021,0,-370.3222306
1Cz5p8mvBRfz2MewAgdYxWb7daqAWXdk23,0.99193202,56412.78683,10/27/2021,0.9919015,56285.06146,12/10/2021,3.05E-05,127.7253717
1ENbxN3cy92UL6xE2Edgf73C3w8QVgYMQQ,0.1660874,9417.09313,11/24/2021,0.1660874,9429.775175,12/2/2021,0,-12.68204497
1FCJNt325hdTZQ7zafHd3pZz7nhLwqf1tz,1.69460038,80234.79562,2/24/2021,1.69460038,77023.12051,4/24/2022,0,3211.675117
1FuLnohFkv9TuC78C72RQmYwG2cDMUG9gJ,0.00026642,15.17220792,12/2/2021,0.00026642,15.14383419,12/2/2021,0,0.02837373
1GD2RYgGpCUtY9NHKiUWHhSsRbx2W1pJg4,1.61097119,78427.33105,12/12/2021,1.61097119,78304.72507,12/16/2021,0,122.6059794
1HDwh6aHCQsDDQG6VthDKBiTa1kj8xWZiP,11.30404595,500435.8891,1/2/2021,11.30404595,500381.0559,11/30/2021,0,54.83320709
1J3b7oaEz9AFbVhWkFTmLbsDrxrVBbjuWt,3.86469637,237684.2801,10/25/2021,3.86469637,237634.8192,10/28/2021,0,49.46084994
1JFcFvFNxXZzv8dngGDED5i5BZ2GATCEK4,0.25540399,12223.66888,12/9/2021,0.25540399,12223.66888,12/9/2021,0,0
1JYFj2VbSuUvuAirqHDDP3PvppLDoFc9Sh,0.84003355,23118.86465,12/20/2020,0.84003355,23295.85681,1/20/2021,0,-176.9921674
1KoTBNRMkYkJPH7mEyAFeUACsLdZNUkJob,3.96415394,244040.5841,10/18/2021,3.96415394,243718.7962,11/1/2021,0,321.7879524
1LokkumUBuWn3xTFBKdvN1ftGh4GcvjKye,0.21689278,3903.739123,11/25/2020,0.21689278,4168.117596,1/9/2021,0,-264.378473
1gZwKgMTFGzt3U7WcMCt4Q4SbijbuZwu3,0.30795071,9999.796706,1/2/2021,0.30795071,10243.21017,1/12/2021,0,-243.4134595
31mVfyHBFVbspsZtJzxmMAmBEDEf6QEYVX,12.21003188,539959.2687,9/14/2021,12.21003188,540340.0509,10/8/2021,0,-380.7822037
