Scam_Platform,Syndicate_group,Address_L0,CrytoType,domain,parent_domain
https://7ba99.limm.top:1889/qmHrdk053,,0xEDe26cCC85ae521D06B5eF2604952a421c9124b6,ETH-USDT,7ba99.limm.top,limm.top
https://7ba99.limm.top:1889/qmHrdk054,,0x45E590732b91F20352039c95BFa61be98b8E4d1E,ETH-USDT,7ba99.limm.top,limm.top
https://www.avadtrade.buzz,FunNull,352vNmiA3Nz4g7iqQNXvUgwEa5DkBcmNGa,BTC,avadtrade.buzz,avadtrade.buzz
https://www.avadtrade.buzz,FunNull,39Vj7f87m3maS7iNNssKWwU1XkPdaHP7Ug,BTC,avadtrade.buzz,avadtrade.buzz
https://www.koinimtd.com,FunNull,0xfee57d0aede0304bb6cba1e4ac0b8a267198d96d,ETH-USDT,koinimtd.com,koinimtd.com
https://www.koinimtd.com,FunNull,0x02e82d695c86d9f36fcd785b5f84c2eacdd4b77c,ETH-USDT,koinimtd.com,koinimtd.com
https://www.igshimao.com,FunNull,0xe76c07623df6b4ca3295b4e8f0cda7daa1158794,ETH-USDT,igshimao.com,igshimao.com
https://www.igshimao.com,FunNull,0xd9215cb5b3ac2ac3a114e25b0ec0290ad0c393bc,ETH-USDT,igshimao.com,igshimao.com
https://www.igshimao.com,FunNull,0x310a94f23bcc8b96df22fd6cdb007201ace388e2,ETH-USDT,igshimao.com,igshimao.com
https://www.wap.nnbv.xyz10,Cloudfront,0xD910C165bC6488bFc3Bc907a797545E06312E458,ETH-USDT,wap.nnbv.xyz10,nnbv.xyz10
https://app.h2guo.com,Cloudfront,3LZziZtvCS5huwtfokvzyjfTDTz7WrZSe9,BTC,app.h2guo.com,h2guo.com
https://app.h2guo.com,Cloudfront,3CkYneVyHUTCiynmzAtxMRVcRKhtkDLN5F,BTC,app.h2guo.com,h2guo.com
www.hugedomains.com,,352vNmiA3Nz4g7iqQNXvUgwEa5DkBcmNGa,BTC,hugedomains.com,hugedomains.com
